ant,AE,N,T,,,,,,,,,,,
bear,B,AE,ER,,,,,,,,,,,
beaver,B,IY,V,ER,,,,,,,,,,
bee,B,IY,,,,,,,,,,,,
bird,B,ER,D,,,,,,,,,,,
bug,B,AH,G,,,,,,,,,,,
chicken,CH,IH,K,AH,N,,,,,,,,,
deer,D,IH,ER,,,,,,,,,,,
dolphin,D,AA,L,F,AH,N,,,,,,,,
donkey,D,AA,NG,K,IY,,,,,,,,,
eagle,IY,G,AH,L,,,,,,,,,,
fly,F,L,AY,,,,,,,,,,,
giraffe,JH,IH,R,AH,F,,,,,,,,,
gorilla,G,AH,R,IH,L,AH,,,,,,,,
grasshopper,G,R,AE,S,HH,AA,P,ER,,,,,,
hippo,HH,IH,P,OW,,,,,,,,,,
kangaroo,K,AE,N,G,AH,R,UW,,,,,,,
ladybug,L,EY,D,IY,B,AH,G,,,,,,,
leopard,L,EH,P,ER,D,,,,,,,,,
lizard,L,IH,Z,ER,D,,,,,,,,,
llama,L,AE,M,AH,,,,,,,,,,
lobster,L,AA,B,S,T,ER,,,,,,,,
moose,M,UW,Z,,,,,,,,,,,
mosquito,M,AH,S,K,IY,T,OW,,,,,,,
mouse,M,AW,S,,,,,,,,,,,
ostrich,AA,S,T,R,AH,CH,,,,,,,,
panda,P,AE,N,D,AH,,,,,,,,,
parrot,P,AE,R,AH,T,,,,,,,,,
peacock,P,IY,K,AA,K,,,,,,,,,
pelican,P,IY,L,IH,S,AH,N,,,,,,,
penguin,P,EH,N,G,W,AH,N,,,,,,,
porcupine,P,AO,R,K,Y,AH,P,AY,N,,,,,
rabbit,R,AE,B,AH,T,,,,,,,,,
raccoon,R,AE,K,UW,N,,,,,,,,,
rhinoceros,R,AY,N,AA,S,AH,R,AH,S,,,,,
rooster,R,UW,S,T,ER,,,,,,,,,
scorpion,S,K,AO,R,P,IY,AH,N,,,,,,
seahorse,S,IY,HH,AO,R,S,,,,,,,,
shark,SH,AA,R,K,,,,,,,,,,
sheep,SH,IY,P,,,,,,,,,,,
shell,SH,EH,L,,,,,,,,,,,
skunk,S,K,AH,NG,K,,,,,,,,,
swan,S,W,AA,N,,,,,,,,,,
turtle,T,ER,T,AH,L,,,,,,,,,
unicorn,Y,UW,N,IH,K,AO,R,N,,,,,,
walrus,W,AA,L,R,AH,S,,,,,,,,
wolf,W,UH,L,F,,,,,,,,,,
worm,W,ER,M,,,,,,,,,,,
antlers,AE,N,T,L,ER,Z,,,,,,,,
arm,AA,R,M,,,,,,,,,,,
chest,CH,EH,S,T,,,,,,,,,,
feather,F,EH,DH,ER,,,,,,,,,,
finger,F,IH,NG,G,ER,,,,,,,,,
hoof,HH,UW,F,,,,,,,,,,,
leg,L,EH,G,,,,,,,,,,,
lips,L,IH,P,S,,,,,,,,,,
neck,N,EH,K,,,,,,,,,,,
paw,P,AO,,,,,,,,,,,,
shoulder,SH,OW,L,D,ER,,,,,,,,,
skeleton,S,K,EH,L,AH,T,AH,N,,,,,,
tail,T,EY,L,,,,,,,,,,,
tear,T,IH,ER,,,,,,,,,,,
teeth,T,IY,TH,,,,,,,,,,,
thumb,TH,AH,M,,,,,,,,,,,
toe,T,OW,,,,,,,,,,,,
wing,W,IH,NG,,,,,,,,,,,
artichoke,AA,R,T,AH,CH,OW,K,,,,,,,
asparagus,AH,S,P,AE,R,AH,G,AH,S,,,,,
butter,B,AH,T,ER,,,,,,,,,,
cheese,CH,IY,Z,,,,,,,,,,,
cherry,CH,EH,R,IY,,,,,,,,,,
cookie,K,UH,K,IY,,,,,,,,,,
crackers,K,R,AE,K,ER,Z,,,,,,,,
egg,EH,G,,,,,,,,,,,,
icecreamcone,AY,S,K,R,IY,M,K,OW,N,,,,,
lemon,L,EH,M,AH,N,,,,,,,,,
lettuce,L,EH,T,Y,UW,S,,,,,,,,
mushroom,M,AH,SH,R,UH,M,,,,,,,,
nut,N,AH,T,,,,,,,,,,,
onion,AH,N,Y,AH,N,,,,,,,,,
orange,AO,R,IH,N,JH,,,,,,,,,
peach,P,IY,CH,,,,,,,,,,,
peanut,P,IY,N,AH,T,,,,,,,,,
peas,P,IY,Z,,,,,,,,,,,
pizza,P,IY,T,S,AH,,,,,,,,,
popcorn,P,AA,P,K,AO,R,N,,,,,,,
popsicle,P,AA,P,S,AH,K,AH,L,,,,,,
potato,P,AH,T,EY,T,OW,,,,,,,,
radish,R,AE,D,IH,SH,,,,,,,,,
salt,S,AO,L,T,,,,,,,,,,
spaghetti,S,P,AH,G,EH,T,IY,,,,,,,
tomato,T,AH,M,EY,T,OW,,,,,,,,
waffle,W,AA,F,AH,L,,,,,,,,,
walnut,W,AO,L,N,AH,T,,,,,,,,
watermelon,W,AO,T,ER,M,EH,L,AH,N,,,,,
wheat,W,IY,T,,,,,,,,,,,
wine,W,AY,N,,,,,,,,,,,
grill,G,R,IH,L,,,,,,,,,,
bathtub,B,AE,TH,T,AH,B,,,,,,,,
bricks,B,R,IH,K,S,,,,,,,,,
couch,K,AW,CH,,,,,,,,,,,
crib,K,R,IH,B,,,,,,,,,,
curtains,K,ER,T,AH,N,Z,,,,,,,,
drawer,D,R,AO,R,,,,,,,,,,
dresser,D,R,EH,S,ER,,,,,,,,,
fence,F,EH,N,S,,,,,,,,,,
fishtank,F,IH,SH,T,AE,NG,K,,,,,,,
floor,F,L,OW,R,,,,,,,,,,
hammock,HH,AE,M,AH,K,,,,,,,,,
highchair,HH,AY,CH,EH,ER,,,,,,,,,
ironingboard,AY,ER,N,IH,NG,B,OW,R,D,,,,,
ladder,L,AE,D,ER,,,,,,,,,,
lawnmower,L,AO,N,M,AW,ER,,,,,,,,
mailbox,M,EY,L,B,AA,K,S,,,,,,,
mirror,M,IH,R,ER,,,,,,,,,,
pillar,P,IH,L,ER,,,,,,,,,,
recordplayer,R,IH,K,AO,R,D,P,L,EY,ER,,,,
refrigerator,R,IH,F,R,IH,JH,ER,AH,T,ER,,,,
rockingchair,R,AA,K,IH,NG,CH,EH,ER,,,,,,
