word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
aardvark,AA,R,D,V,AA,R,K,,,,,,,,,,,
abacus,AE,B,AH,K,AH,S,,,,,,,,,,,,
abacuses,AE,B,AH,K,Y,UW,Z,AH,Z,,,,,,,,,
abalones,AE,B,AH,L,OW,N,IY,Z,,,,,,,,,,
abandoner,AH,B,AE,N,D,AH,N,ER,,,,,,,,,,
abatement,AH,B,EY,T,M,AH,N,T,,,,,,,,,,
abattoir,AE,B,AH,T,OY,R,,,,,,,,,,,,
abbess,AE,B,AH,S,,,,,,,,,,,,,,
abbey,AE,B,IY,,,,,,,,,,,,,,,
abbreviation,AH,B,R,IY,V,IY,EY,SH,AH,N,,,,,,,,
abdication,AE,B,D,IH,K,EY,SH,AH,N,,,,,,,,,
abdomen,AE,B,D,OW,M,AH,N,,,,,,,,,,,
abduction,AE,B,D,AH,K,SH,AH,N,,,,,,,,,,
abductor,AE,B,D,AH,K,T,ER,,,,,,,,,,,
abeam,AH,B,IY,M,,,,,,,,,,,,,,
aberration,AE,B,ER,EY,SH,AH,N,,,,,,,,,,,
abettor,AH,B,EH,T,ER,,,,,,,,,,,,,
abeyance,AH,B,EY,AH,N,S,,,,,,,,,,,,
ability,AH,B,IH,L,AH,T,IY,,,,,,,,,,,
ablation,AE,B,L,EY,SH,AH,N,,,,,,,,,,,
ablution,AE,B,L,Y,UW,T,IY,AH,N,,,,,,,,,
abnormalities,AE,B,N,AO,R,M,AE,L,AH,T,IY,Z,,,,,,
abode,AH,B,OW,D,,,,,,,,,,,,,,
abolition,AE,B,AH,L,IH,SH,AH,N,,,,,,,,,,
abolitionism,AE,B,AH,L,IH,SH,AH,N,IH,Z,AH,M,,,,,,
abolitionist,AE,B,AH,L,IH,SH,AH,N,AH,S,T,,,,,,,
abomination,AH,B,AA,M,AH,N,EY,SH,AH,N,,,,,,,,
aborigine,AE,B,ER,IH,JH,AH,N,IY,,,,,,,,,,
abortion,AH,B,AO,R,SH,AH,N,,,,,,,,,,,
abortionist,AH,B,AO,R,SH,AH,N,IH,S,T,,,,,,,,
aboveboard,AH,B,AH,V,B,AO,R,D,,,,,,,,,,
abracadabra,AE,B,R,AH,K,AH,D,AE,B,R,AH,,,,,,,
abrasion,AH,B,R,EY,ZH,AH,N,,,,,,,,,,,
abreaction,AE,B,R,IY,AE,K,SH,AH,N,,,,,,,,,
abridge,AH,B,R,IH,JH,,,,,,,,,,,,,
abruption,AH,B,R,AH,P,SH,AH,N,,,,,,,,,,
abscess,AE,B,S,EH,S,,,,,,,,,,,,,
absconder,AE,B,S,K,AA,N,D,AH,R,,,,,,,,,
absence,AE,B,S,AH,N,S,,,,,,,,,,,,
absentee,AE,B,S,AH,N,T,IY,,,,,,,,,,,
absentmindedness,AE,B,S,AH,N,T,M,AY,N,D,AH,D,N,AH,S,,,
absinthes,AE,B,S,IH,N,TH,S,,,,,,,,,,,
absoluteness,AE,B,S,AH,L,UW,T,N,AH,S,,,,,,,,
absolver,AE,B,S,OW,L,V,AH,R,,,,,,,,,,
absorber,AH,B,Z,AO,R,B,ER,,,,,,,,,,,
absorption,AH,B,Z,AO,R,P,SH,AH,N,,,,,,,,,
abstention,AH,B,S,T,EH,N,CH,AH,N,,,,,,,,,
abstinence,AE,B,S,T,AH,N,AH,N,S,,,,,,,,,
abstraction,AE,B,S,T,R,AE,K,SH,AH,N,,,,,,,,
abstractionist,AE,B,S,T,R,AE,K,SH,AH,N,IH,S,T,,,,,
absurdist,AH,B,S,ER,D,IH,S,T,,,,,,,,,,
absurdities,AH,B,S,ER,D,AH,T,IY,Z,,,,,,,,,
abundance,AH,B,AH,N,D,AH,N,S,,,,,,,,,,
abuse,AH,B,Y,UW,S,,,,,,,,,,,,,
abutment,AH,B,AH,T,M,AH,N,T,,,,,,,,,,
abuzz,AH,B,AH,Z,,,,,,,,,,,,,,
abyss,AH,B,IH,S,,,,,,,,,,,,,,
acacia,AH,K,EY,SH,AH,,,,,,,,,,,,,
academe,AE,K,AH,D,IY,M,,,,,,,,,,,,
academia,AE,K,AH,D,IY,M,IY,AH,,,,,,,,,,
academician,AE,K,AH,D,AH,M,IH,SH,AH,N,,,,,,,,
