word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ANT,AE,N,T,,,,,,,,,,,
BEAR,B,EH,R,,,,,,,,,,,
BEAVER,B,IY,V,ER,,,,,,,,,,
BEE,B,IY,,,,,,,,,,,,
BIRD,B,ER,D,,,,,,,,,,,
BUG,B,AH,G,,,,,,,,,,,
CHICKEN,CH,IH,K,AH,N,,,,,,,,,
DEER,D,IH,R,,,,,,,,,,,
DOLPHIN,D,AA,L,F,AH,N,,,,,,,,
DONKEY,D,AA,NG,K,IY,,,,,,,,,
EAGLE,IY,G,AH,L,,,,,,,,,,
FLY,F,L,AY,,,,,,,,,,,
GIRAFFE,JH,ER,AE,F,,,,,,,,,,
GORILLA,G,ER,IH,L,AH,,,,,,,,,
GRASSHOPPER,G,R,AE,S,HH,AA,P,ER,,,,,,
HIPPO,HH,IH,P,OW,,,,,,,,,,
KANGAROO,K,AE,NG,G,ER,UW,,,,,,,,
LADYBUG,L,EY,D,IY,B,AH,G,,,,,,,
LEOPARD,L,EH,P,ER,D,,,,,,,,,
LIZARD,L,IH,Z,ER,D,,,,,,,,,
LLAMA,L,AA,M,AH,,,,,,,,,,
LOBSTER,L,AA,B,S,T,ER,,,,,,,,
MOOSE,M,UW,S,,,,,,,,,,,
MOSQUITO,M,AH,S,K,IY,T,OW,,,,,,,
MOUSE,M,AW,S,,,,,,,,,,,
OSTRICH,AO,S,T,R,IH,CH,,,,,,,,
PANDA,P,AE,N,D,AH,,,,,,,,,
PARROT,P,EH,R,AH,T,,,,,,,,,
PEACOCK,P,IY,K,AA,K,,,,,,,,,
PELICAN,P,EH,L,AH,K,AH,N,,,,,,,
PENGUIN,P,EH,NG,G,W,AH,N,,,,,,,
PORCUPINE,P,AO,R,K,Y,AH,P,AY,N,,,,,
RABBIT,R,AE,B,AH,T,,,,,,,,,
RACCOON,R,AE,K,UW,N,,,,,,,,,
RHINOCEROS,R,AY,N,AA,S,ER,AH,S,,,,,,
ROOSTER,R,UW,S,T,ER,,,,,,,,,
SCORPION,S,K,AO,R,P,IY,AH,N,,,,,,
SEAHORSE,S,IY,HH,AO,R,S,,,,,,,,
SHARK,SH,AA,R,K,,,,,,,,,,
SHEEP,SH,IY,P,,,,,,,,,,,
SHELL,SH,EH,L,,,,,,,,,,,
SKUNK,S,K,AH,NG,K,,,,,,,,,
SWAN,S,W,AA,N,,,,,,,,,,
TURTLE,T,ER,T,AH,L,,,,,,,,,
UNICORN,Y,UW,N,IH,K,AO,R,N,,,,,,
WALRUS,W,AO,L,R,AH,S,,,,,,,,
WOLF,W,UH,L,F,,,,,,,,,,
WORM,W,ER,M,,,,,,,,,,,
ANTLERS,AE,N,T,L,ER,Z,,,,,,,,
ARM,AA,R,M,,,,,,,,,,,
CHEST,CH,EH,S,T,,,,,,,,,,
FEATHER,F,EH,DH,ER,,,,,,,,,,
FINGER,F,IH,NG,G,ER,,,,,,,,,
HOOF,HH,UW,F,,,,,,,,,,,
LEG,L,EH,G,,,,,,,,,,,
LIPS,L,IH,P,S,,,,,,,,,,
NECK,N,EH,K,,,,,,,,,,,
PAW,P,AO,,,,,,,,,,,,
SHOULDER,SH,OW,L,D,ER,,,,,,,,,
SKELETON,S,K,EH,L,AH,T,AH,N,,,,,,
TAIL,T,EY,L,,,,,,,,,,,
TEAR,T,EH,R,,,,,,,,,,,
TEETH,T,IY,TH,,,,,,,,,,,
THUMB,TH,AH,M,,,,,,,,,,,
TOE,T,OW,,,,,,,,,,,,
WING,W,IH,NG,,,,,,,,,,,
ARTICHOKE,AA,R,T,IH,CH,OW,K,,,,,,,
ASPARAGUS,AH,S,P,EH,R,AH,G,AH,S,,,,,
BUTTER,B,AH,T,ER,,,,,,,,,,
CHEESE,CH,IY,Z,,,,,,,,,,,
CHERRY,CH,EH,R,IY,,,,,,,,,,
COOKIE,K,UH,K,IY,,,,,,,,,,
CRACKERS,K,R,AE,K,ER,Z,,,,,,,,
EGG,EH,G,,,,,,,,,,,,
ICECREAMCONE,AY,S,K,R,IY,M,K,OW,N,,,,,
LEMON,L,EH,M,AH,N,,,,,,,,,
LETTUCE,L,EH,T,AH,S,,,,,,,,,
MUSHROOM,M,AH,SH,R,UW,M,,,,,,,,
NUT,N,AH,T,,,,,,,,,,,
ONION,AH,N,Y,AH,N,,,,,,,,,
ORANGE,AO,R,AH,N,JH,,,,,,,,,
PEACH,P,IY,CH,,,,,,,,,,,
PEANUT,P,IY,N,AH,T,,,,,,,,,
PEAS,P,IY,Z,,,,,,,,,,,
PIZZA,P,IY,T,S,AH,,,,,,,,,
POPCORN,P,AA,P,K,AO,R,N,,,,,,,
POPSICLE,P,AA,P,S,IH,K,AH,L,,,,,,
POTATO,P,AH,T,EY,T,OW,,,,,,,,
RADISH,R,AE,D,IH,SH,,,,,,,,,
SALT,S,AO,L,T,,,,,,,,,,
SPAGHETTI,S,P,AH,G,EH,T,IY,,,,,,,
TOMATO,T,AH,M,EY,T,OW,,,,,,,,
WAFFLE,W,AA,F,AH,L,,,,,,,,,
WALNUT,W,AO,L,N,AH,T,,,,,,,,
WATERMELON,W,AO,T,ER,M,EH,L,AH,N,,,,,
WHEAT,W,IY,T,,,,,,,,,,,
WINE,W,AY,N,,,,,,,,,,,
GRILL,G,R,IH,L,,,,,,,,,,
BATHTUB,B,AE,TH,T,AH,B,,,,,,,,
BRICKS,B,R,IH,K,S,,,,,,,,,
COUCH,K,AW,CH,,,,,,,,,,,
CRIB,K,R,IH,B,,,,,,,,,,
CURTAINS,K,ER,T,AH,N,Z,,,,,,,,
DRAWER,D,R,AO,R,,,,,,,,,,
DRESSER,D,R,EH,S,ER,,,,,,,,,
FENCE,F,EH,N,S,,,,,,,,,,
FISHTANK,F,IH,SH,T,AE,NG,K,,,,,,,
FLOOR,F,L,AO,R,,,,,,,,,,
HAMMOCK,HH,AE,M,AH,K,,,,,,,,,
HIGHCHAIR,HH,AY,CH,EH,ER,,,,,,,,,
IRONINGBOARD,AY,ER,N,IH,NG,B,OW,R,D,,,,,
LADDER,L,AE,D,ER,,,,,,,,,,
LAWNMOWER,L,AO,N,M,OW,ER,,,,,,,,
MAILBOX,M,EY,L,B,AA,K,S,,,,,,,
MIRROR,M,IH,R,ER,,,,,,,,,,
PILLAR,P,IH,L,ER,,,,,,,,,,
RECORDPLAYER,R,IH,K,AO,R,D,P,L,EY,ER,,,,
